city_id,country_id,forecast_time,temperature,forecast,rain_in_last_3h,wind_speed,retrieval_time
1,30,2024-01-18,271.06,Clouds,0,1.97,2024-01-18
1,30,2024-01-18,271.8,Clouds,0,2.66,2024-01-18
1,30,2024-01-18,271.42,Clouds,0,2.2,2024-01-18
1,30,2024-01-18,270.54,Clouds,0,3.43,2024-01-18
1,30,2024-01-18,269.24,Clear,0,2.87,2024-01-18
1,30,2024-01-19,269.29,Clear,0,3.44,2024-01-18
1,30,2024-01-19,270.42,Clear,0,4.54,2024-01-18
1,30,2024-01-19,270.69,Clouds,0,5.01,2024-01-18
1,30,2024-01-19,271.27,Clouds,0,4.71,2024-01-18
1,30,2024-01-19,273.42,Clouds,0,5.41,2024-01-18
1,30,2024-01-19,272.83,Clouds,0,4.48,2024-01-18
1,30,2024-01-19,272.49,Clouds,0,5.42,2024-01-18
1,30,2024-01-19,272.1,Clouds,0,5.74,2024-01-18
1,30,2024-01-20,272.01,Clouds,0,6.49,2024-01-18
1,30,2024-01-20,272.07,Clouds,0,6.96,2024-01-18
1,30,2024-01-20,272.79,Clouds,0,7.38,2024-01-18
1,30,2024-01-20,273.38,Clouds,0,6.56,2024-01-18
1,30,2024-01-20,274.66,Clouds,0,6.03,2024-01-18
1,30,2024-01-20,273.79,Clouds,0,4.23,2024-01-18
1,30,2024-01-20,271.96,Clouds,0,3.36,2024-01-18
1,30,2024-01-20,270.98,Clouds,0,2.77,2024-01-18
1,30,2024-01-21,270.08,Clouds,0,2.36,2024-01-18
1,30,2024-01-21,269.62,Clouds,0,3.03,2024-01-18
1,30,2024-01-21,270.9,Clouds,0,3.57,2024-01-18
1,30,2024-01-21,271.73,Clouds,0,4.1,2024-01-18
1,30,2024-01-21,274.26,Clouds,0,4.97,2024-01-18
1,30,2024-01-21,273.78,Clouds,0,5.03,2024-01-18
1,30,2024-01-21,272.94,Clouds,0,5.33,2024-01-18
1,30,2024-01-21,273.15,Clouds,0,5.7,2024-01-18
1,30,2024-01-22,273.89,Clouds,0,6.42,2024-01-18
1,30,2024-01-22,275.35,Clouds,0,7.28,2024-01-18
1,30,2024-01-22,276.81,Clouds,0,8.3,2024-01-18
1,30,2024-01-22,278,Rain,1.75,9.53,2024-01-18
1,30,2024-01-22,279.34,Rain,3.15,9.6,2024-01-18
1,30,2024-01-22,279.89,Clouds,0,8.74,2024-01-18
1,30,2024-01-22,279.27,Rain,1.06,6.63,2024-01-18
1,30,2024-01-22,277.95,Rain,0.12,6.54,2024-01-18
1,30,2024-01-23,278.36,Clouds,0,8.04,2024-01-18
1,30,2024-01-23,277.92,Rain,0.28,8.53,2024-01-18
1,30,2024-01-23,278.15,Rain,0.15,7.26,2024-01-18
2,31,2024-01-18,290.56,Clear,0,9.99,2024-01-18
2,31,2024-01-18,290.44,Clouds,0,9.52,2024-01-18
2,31,2024-01-18,290.18,Clear,0,9.26,2024-01-18
2,31,2024-01-18,289.84,Clouds,0,6.7,2024-01-18
2,31,2024-01-18,289.87,Clouds,0,9.09,2024-01-18
2,31,2024-01-19,289.05,Clouds,0,8.97,2024-01-18
2,31,2024-01-19,288.26,Clouds,0,4.97,2024-01-18
2,31,2024-01-19,285.98,Clouds,0,6.64,2024-01-18
